country,epiweek,new_hospitalization,new_icu,iso_year,iso_week_number
NEW ZEALAND,0001-01-15,518,19,1,3
NEW ZEALAND,0001-03-19,1,0,1,12
NEW ZEALAND,0001-05-14,448,16,1,20
NEW ZEALAND,0001-08-20,1,0,1,34
NEW ZEALAND,0002-01-14,15,1,2,2
NEW ZEALAND,0002-04-15,257,8,2,15
NEW ZEALAND,0002-10-14,137,6,2,41
NEW ZEALAND,0003-01-20,1,0,3,3
NEW ZEALAND,0003-04-14,704,23,3,15
NEW ZEALAND,0003-07-14,597,12,3,28
NEW ZEALAND,0003-10-20,26,5,3,42
NEW ZEALAND,0004-06-14,253,8,4,24
NEW ZEALAND,0004-09-20,247,8,4,38
NEW ZEALAND,0004-12-20,510,13,4,51
NEW ZEALAND,0005-02-14,153,7,5,7
NEW ZEALAND,0005-03-14,201,9,5,11
NEW ZEALAND,0005-04-18,17,3,5,16
NEW ZEALAND,0005-06-20,480,14,5,25
NEW ZEALAND,0005-07-18,1,1,5,29
NEW ZEALAND,0005-09-19,28,7,5,38
NEW ZEALAND,0005-12-19,55,2,5,51
NEW ZEALAND,0006-02-20,41,3,6,8
NEW ZEALAND,0006-03-20,925,17,6,12
NEW ZEALAND,0006-09-18,1,1,6,38
NEW ZEALAND,0006-11-20,359,10,6,47
NEW ZEALAND,0007-02-19,1,0,7,8
NEW ZEALAND,0007-03-19,1,0,7,12
NEW ZEALAND,0007-05-14,236,3,7,20
NEW ZEALAND,0007-08-20,620,20,7,34
NEW ZEALAND,0007-11-19,86,7,7,47
NEW ZEALAND,0008-01-14,409,8,8,2
NEW ZEALAND,0008-03-17,1,0,8,11
NEW ZEALAND,0008-05-19,429,9,8,20
NEW ZEALAND,0008-08-18,2,0,8,33
NEW ZEALAND,0009-01-19,14,0,9,3
NEW ZEALAND,0009-04-20,273,9,9,16
NEW ZEALAND,0009-10-19,174,2,9,42
NEW ZEALAND,0010-04-19,550,22,10,16
NEW ZEALAND,0010-05-17,1,1,10,20
NEW ZEALAND,0010-07-19,733,23,10,29
NEW ZEALAND,0010-10-18,25,2,10,42
NEW ZEALAND,0011-04-18,1,0,11,16
NEW ZEALAND,0011-06-20,212,8,11,25
NEW ZEALAND,0011-09-19,205,6,11,38
NEW ZEALAND,0011-12-19,575,14,11,51
NEW ZEALAND,0012-02-20,156,2,12,8
NEW ZEALAND,0012-03-19,217,7,12,12
NEW ZEALAND,0012-04-16,10,0,12,16
NEW ZEALAND,0012-06-18,404,13,12,25
NEW ZEALAND,0012-09-17,11,1,12,38
NEW ZEALAND,0012-12-17,36,4,12,51
NEW ZEALAND,0013-02-18,90,1,13,7
NEW ZEALAND,0013-03-18,1110,19,13,11
NEW ZEALAND,0013-06-17,1,0,13,24
NEW ZEALAND,0013-09-16,2,0,13,37
NEW ZEALAND,0013-11-18,347,10,13,46
NEW ZEALAND,0014-05-19,234,2,14,20
NEW ZEALAND,0014-08-18,476,11,14,33
NEW ZEALAND,0014-11-17,88,2,14,46
NEW ZEALAND,0015-01-19,296,10,15,3
NEW ZEALAND,0015-03-16,2,0,15,11
NEW ZEALAND,0015-05-18,475,13,15,20
NEW ZEALAND,0015-08-17,1,0,15,33
NEW ZEALAND,0016-01-18,19,1,16,3
NEW ZEALAND,0016-04-18,313,10,16,16
NEW ZEALAND,0016-08-15,6,1,16,33
NEW ZEALAND,0016-10-17,264,8,16,42
NEW ZEALAND,0017-04-17,460,9,17,16
NEW ZEALAND,0017-07-17,855,22,17,29
NEW ZEALAND,0017-10-16,37,2,17,42
NEW ZEALAND,0018-06-18,220,2,18,25
NEW ZEALAND,0018-09-17,166,6,18,38
NEW ZEALAND,0018-12-17,590,13,18,51
NEW ZEALAND,0019-02-18,138,6,19,7
NEW ZEALAND,0019-03-18,223,10,19,11
NEW ZEALAND,0019-04-15,10,0,19,15
NEW ZEALAND,0019-06-17,405,8,19,24
NEW ZEALAND,0019-07-15,1,0,19,28
NEW ZEALAND,0019-09-16,9,1,19,37
NEW ZEALAND,0019-12-16,38,0,19,50
NEW ZEALAND,0020-02-17,242,9,20,7
NEW ZEALAND,0020-03-16,946,28,20,11
NEW ZEALAND,0020-06-15,1,0,20,24
NEW ZEALAND,0020-11-16,393,10,20,46
NEW ZEALAND,0021-02-15,2,0,21,7
NEW ZEALAND,0021-05-17,249,12,21,20
NEW ZEALAND,0021-08-16,395,6,21,33
NEW ZEALAND,0021-11-15,86,4,21,46
NEW ZEALAND,0022-01-17,254,5,22,3
NEW ZEALAND,0022-03-14,8,1,22,11
NEW ZEALAND,0022-05-16,497,10,22,20
NEW ZEALAND,0022-08-15,8,0,22,33
NEW ZEALAND,0023-01-16,11,2,23,3
NEW ZEALAND,0023-04-17,308,8,23,16
NEW ZEALAND,0023-08-14,8,4,23,33
NEW ZEALAND,0023-10-16,327,11,23,42
NEW ZEALAND,0024-01-15,2,0,24,3
NEW ZEALAND,0024-04-15,495,5,24,16
NEW ZEALAND,0024-05-20,1,0,24,21
NEW ZEALAND,0024-07-15,859,20,24,29
NEW ZEALAND,0024-10-14,67,2,24,42
NEW ZEALAND,0025-04-14,1,0,25,15
NEW ZEALAND,0025-06-16,171,3,25,24
NEW ZEALAND,0025-09-15,176,7,25,37
NEW ZEALAND,0025-12-15,557,12,25,50
NEW ZEALAND,0026-02-16,178,7,26,7
NEW ZEALAND,0026-03-16,232,5,26,11
NEW ZEALAND,0026-04-20,1,0,26,16
NEW ZEALAND,0026-06-15,462,12,26,24
NEW ZEALAND,0026-09-14,15,2,26,37
NEW ZEALAND,0026-12-14,32,3,26,50
NEW ZEALAND,0027-02-15,622,10,27,7
NEW ZEALAND,0027-03-15,795,23,27,11
NEW ZEALAND,0027-06-14,2,0,27,24
NEW ZEALAND,0027-11-15,396,11,27,46
NEW ZEALAND,0028-05-15,244,4,28,20
NEW ZEALAND,0028-06-19,1,0,28,25
NEW ZEALAND,0028-08-14,298,2,28,33
NEW ZEALAND,0028-11-20,94,7,28,47
NEW ZEALAND,0029-01-15,166,4,29,3
NEW ZEALAND,0029-03-19,23,1,29,12
NEW ZEALAND,0029-05-14,429,6,29,20
NEW ZEALAND,0029-08-20,37,9,29,34
NEW ZEALAND,0030-01-14,15,2,30,2
NEW ZEALAND,0030-04-15,257,7,30,15
NEW ZEALAND,0030-08-19,3,0,30,33
NEW ZEALAND,0030-10-14,335,8,30,41
NEW ZEALAND,0031-07-14,764,21,31,28
NEW ZEALAND,0031-10-20,68,0,31,42
UNITED STATES OF AMERICA,2019-12-30,528,,2019,52
UNITED STATES OF AMERICA,2020-01-06,132,,2020,1
UNITED STATES OF AMERICA,2020-03-16,1,,2020,11
UNITED STATES OF AMERICA,2020-03-23,16,,2020,12
UNITED STATES OF AMERICA,2020-03-30,12,,2020,13
UNITED STATES OF AMERICA,2020-04-06,529,,2020,14
UNITED STATES OF AMERICA,2020-04-13,469,,2020,15
UNITED STATES OF AMERICA,2020-04-20,338,,2020,16
UNITED STATES OF AMERICA,2020-04-27,557,,2020,17
UNITED STATES OF AMERICA,2020-05-04,451,,2020,18
UNITED STATES OF AMERICA,2020-05-11,459,,2020,19
UNITED STATES OF AMERICA,2020-05-18,399,,2020,20
UNITED STATES OF AMERICA,2020-05-25,303,,2020,21
UNITED STATES OF AMERICA,2020-06-01,200,,2020,22
UNITED STATES OF AMERICA,2020-06-08,288,,2020,23
UNITED STATES OF AMERICA,2020-06-15,251,,2020,24
UNITED STATES OF AMERICA,2020-06-22,511,,2020,25
UNITED STATES OF AMERICA,2020-06-29,846,,2020,26
UNITED STATES OF AMERICA,2020-07-06,999,,2020,27
UNITED STATES OF AMERICA,2020-07-13,22000,,2020,28
UNITED STATES OF AMERICA,2020-07-20,33644,,2020,29
UNITED STATES OF AMERICA,2020-07-27,38484,,2020,30
UNITED STATES OF AMERICA,2020-08-03,32884,,2020,31
UNITED STATES OF AMERICA,2020-08-10,31510,,2020,32
UNITED STATES OF AMERICA,2020-08-17,30245,,2020,33
UNITED STATES OF AMERICA,2020-08-24,29747,,2020,34
UNITED STATES OF AMERICA,2020-08-31,26933,,2020,35
UNITED STATES OF AMERICA,2020-09-07,28234,,2020,36
UNITED STATES OF AMERICA,2020-09-14,23851,,2020,37
UNITED STATES OF AMERICA,2020-09-21,24693,,2020,38
UNITED STATES OF AMERICA,2020-09-28,27417,,2020,39
UNITED STATES OF AMERICA,2020-10-05,33428,,2020,40
UNITED STATES OF AMERICA,2020-10-12,36880,,2020,41
UNITED STATES OF AMERICA,2020-10-19,40806,,2020,42
UNITED STATES OF AMERICA,2020-10-26,46012,,2020,43
UNITED STATES OF AMERICA,2020-11-02,56324,,2020,44
UNITED STATES OF AMERICA,2020-11-09,70636,,2020,45
UNITED STATES OF AMERICA,2020-11-16,81587,,2020,46
UNITED STATES OF AMERICA,2020-11-23,86627,,2020,47
UNITED STATES OF AMERICA,2020-11-30,94234,,2020,48
UNITED STATES OF AMERICA,2020-12-07,101309,,2020,49
UNITED STATES OF AMERICA,2020-12-14,104628,,2020,50
UNITED STATES OF AMERICA,2020-12-21,106027,,2020,51
UNITED STATES OF AMERICA,2020-12-28,111856,,2020,52
UNITED STATES OF AMERICA,2021-01-04,116066,,2021,1
UNITED STATES OF AMERICA,2021-01-11,108598,,2021,2
