country,epiweek,new_hospitalization,new_icu,iso_year,iso_week_number
NEW ZEALAND,2020-02-24,1,0,2020,8
NEW ZEALAND,2020-03-02,1,0,2020,9
NEW ZEALAND,2020-03-09,2,0,2020,10
NEW ZEALAND,2020-03-16,8,1,2020,11
NEW ZEALAND,2020-03-23,23,1,2020,12
NEW ZEALAND,2020-03-30,17,3,2020,13
NEW ZEALAND,2020-04-06,10,0,2020,14
NEW ZEALAND,2020-04-13,10,0,2020,15
NEW ZEALAND,2020-04-20,1,0,2020,16
NEW ZEALAND,2020-05-04,1,1,2020,18
NEW ZEALAND,2020-05-18,1,0,2020,20
NEW ZEALAND,2020-06-22,1,0,2020,25
NEW ZEALAND,2020-06-29,1,1,2020,26
NEW ZEALAND,2020-07-13,1,0,2020,28
NEW ZEALAND,2020-08-10,6,1,2020,32
NEW ZEALAND,2020-08-17,8,4,2020,33
NEW ZEALAND,2020-08-24,3,0,2020,34
NEW ZEALAND,2020-08-31,1,1,2020,35
NEW ZEALAND,2020-09-07,2,0,2020,36
NEW ZEALAND,2020-12-28,1,0,2020,52
NEW ZEALAND,2021-01-18,2,0,2021,3
NEW ZEALAND,2021-02-01,1,0,2021,5
NEW ZEALAND,2021-02-15,2,0,2021,7
NEW ZEALAND,2021-03-01,1,0,2021,9
NEW ZEALAND,2021-04-05,1,0,2021,14
NEW ZEALAND,2021-04-19,1,0,2021,16
NEW ZEALAND,2021-06-07,1,0,2021,23
NEW ZEALAND,2021-06-14,1,0,2021,24
NEW ZEALAND,2021-06-21,2,0,2021,25
NEW ZEALAND,2021-07-26,1,0,2021,30
NEW ZEALAND,2021-08-02,2,0,2021,31
NEW ZEALAND,2021-08-09,1,0,2021,32
NEW ZEALAND,2021-08-16,8,0,2021,33
NEW ZEALAND,2021-08-23,37,9,2021,34
NEW ZEALAND,2021-08-30,28,7,2021,35
NEW ZEALAND,2021-09-06,11,1,2021,36
NEW ZEALAND,2021-09-13,9,1,2021,37
NEW ZEALAND,2021-09-20,15,2,2021,38
NEW ZEALAND,2021-09-27,26,5,2021,39
NEW ZEALAND,2021-10-04,25,2,2021,40
NEW ZEALAND,2021-10-11,37,2,2021,41
NEW ZEALAND,2021-10-18,67,2,2021,42
NEW ZEALAND,2021-10-25,68,0,2021,43
NEW ZEALAND,2021-11-01,86,7,2021,44
NEW ZEALAND,2021-11-08,88,2,2021,45
NEW ZEALAND,2021-11-15,86,4,2021,46
NEW ZEALAND,2021-11-22,94,7,2021,47
NEW ZEALAND,2021-11-29,55,2,2021,48
NEW ZEALAND,2021-12-06,36,4,2021,49
NEW ZEALAND,2021-12-13,38,0,2021,50
NEW ZEALAND,2021-12-20,32,3,2021,51
NEW ZEALAND,2021-12-27,15,1,2021,52
NEW ZEALAND,2022-01-03,14,0,2022,1
NEW ZEALAND,2022-01-10,19,1,2022,2
NEW ZEALAND,2022-01-17,11,2,2022,3
NEW ZEALAND,2022-01-24,15,2,2022,4
NEW ZEALAND,2022-01-31,41,3,2022,5
NEW ZEALAND,2022-02-07,90,1,2022,6
NEW ZEALAND,2022-02-14,242,9,2022,7
NEW ZEALAND,2022-02-21,622,10,2022,8
NEW ZEALAND,2022-02-28,925,17,2022,9
NEW ZEALAND,2022-03-07,1110,19,2022,10
NEW ZEALAND,2022-03-14,946,28,2022,11
NEW ZEALAND,2022-03-21,795,23,2022,12
NEW ZEALAND,2022-03-28,704,23,2022,13
NEW ZEALAND,2022-04-04,550,22,2022,14
NEW ZEALAND,2022-04-11,460,9,2022,15
NEW ZEALAND,2022-04-18,495,5,2022,16
NEW ZEALAND,2022-04-25,449,16,2022,17
NEW ZEALAND,2022-05-02,429,9,2022,18
NEW ZEALAND,2022-05-09,475,13,2022,19
NEW ZEALAND,2022-05-16,497,10,2022,20
NEW ZEALAND,2022-05-23,429,6,2022,21
NEW ZEALAND,2022-05-30,480,14,2022,22
NEW ZEALAND,2022-06-06,404,13,2022,23
NEW ZEALAND,2022-06-13,404,8,2022,24
NEW ZEALAND,2022-06-20,462,12,2022,25
NEW ZEALAND,2022-06-27,597,12,2022,26
NEW ZEALAND,2022-07-04,733,23,2022,27
NEW ZEALAND,2022-07-11,855,22,2022,28
NEW ZEALAND,2022-07-18,858,20,2022,29
NEW ZEALAND,2022-07-25,764,21,2022,30
NEW ZEALAND,2022-08-01,620,20,2022,31
NEW ZEALAND,2022-08-08,476,11,2022,32
NEW ZEALAND,2022-08-15,395,6,2022,33
NEW ZEALAND,2022-08-22,298,2,2022,34
NEW ZEALAND,2022-08-29,247,8,2022,35
NEW ZEALAND,2022-09-05,205,6,2022,36
NEW ZEALAND,2022-09-12,167,6,2022,37
NEW ZEALAND,2022-09-19,176,7,2022,38
NEW ZEALAND,2022-09-26,137,6,2022,39
NEW ZEALAND,2022-10-03,174,2,2022,40
NEW ZEALAND,2022-10-10,264,8,2022,41
NEW ZEALAND,2022-10-17,328,12,2022,42
NEW ZEALAND,2022-10-24,334,8,2022,43
NEW ZEALAND,2022-10-31,359,10,2022,44
NEW ZEALAND,2022-11-07,347,10,2022,45
NEW ZEALAND,2022-11-14,393,10,2022,46
NEW ZEALAND,2022-11-21,396,11,2022,47
NEW ZEALAND,2022-11-28,510,13,2022,48
NEW ZEALAND,2022-12-05,575,14,2022,49
NEW ZEALAND,2022-12-12,590,13,2022,50
NEW ZEALAND,2022-12-19,558,12,2022,51
NEW ZEALAND,2022-12-26,518,19,2022,52
NEW ZEALAND,2023-01-02,410,8,2023,1
NEW ZEALAND,2023-01-09,296,10,2023,2
NEW ZEALAND,2023-01-16,254,5,2023,3
NEW ZEALAND,2023-01-23,167,4,2023,4
NEW ZEALAND,2023-01-30,154,8,2023,5
NEW ZEALAND,2023-02-06,156,2,2023,6
NEW ZEALAND,2023-02-13,140,6,2023,7
NEW ZEALAND,2023-02-20,178,7,2023,8
NEW ZEALAND,2023-02-27,202,9,2023,9
NEW ZEALAND,2023-03-06,218,7,2023,10
NEW ZEALAND,2023-03-13,223,10,2023,11
NEW ZEALAND,2023-03-20,232,5,2023,12
NEW ZEALAND,2023-03-27,257,8,2023,13
NEW ZEALAND,2023-04-03,274,9,2023,14
NEW ZEALAND,2023-04-10,314,11,2023,15
NEW ZEALAND,2023-04-17,308,8,2023,16
NEW ZEALAND,2023-04-24,258,7,2023,17
NEW ZEALAND,2023-05-01,240,5,2023,18
NEW ZEALAND,2023-05-08,235,2,2023,19
NEW ZEALAND,2023-05-15,257,15,2023,20
NEW ZEALAND,2023-05-22,250,6,2023,21
NEW ZEALAND,2023-05-29,262,10,2023,22
NEW ZEALAND,2023-06-05,221,8,2023,23
NEW ZEALAND,2023-06-12,234,3,2023,24
NEW ZEALAND,2023-06-19,202,6,2023,25
NEW ZEALAND,2023-06-26,176,8,2023,26
NEW ZEALAND,2023-07-03,142,5,2023,27
NEW ZEALAND,2023-07-10,144,3,2023,28
NEW ZEALAND,2023-07-17,112,6,2023,29
NEW ZEALAND,2023-07-24,102,6,2023,30
NEW ZEALAND,2023-07-31,125,9,2023,31
NEW ZEALAND,2023-08-07,140,9,2023,32
NEW ZEALAND,2023-08-14,153,5,2023,33
NEW ZEALAND,2023-08-21,155,7,2023,34
NEW ZEALAND,2023-08-28,170,10,2023,35
NEW ZEALAND,2023-09-04,181,4,2023,36
NEW ZEALAND,2023-09-11,159,5,2023,37
NEW ZEALAND,2023-09-18,161,8,2023,38
NEW ZEALAND,2023-09-25,174,6,2023,39
NEW ZEALAND,2023-10-02,226,4,2023,40
NEW ZEALAND,2023-10-09,212,7,2023,41
NEW ZEALAND,2023-10-16,239,8,2023,42
NEW ZEALAND,2023-10-23,189,2,2023,43
NEW ZEALAND,2023-10-30,303,11,2023,44
NEW ZEALAND,2023-11-06,287,7,2023,45
NEW ZEALAND,2023-11-13,351,10,2023,46
NEW ZEALAND,2023-11-20,360,10,2023,47
NEW ZEALAND,2023-11-27,364,5,2023,48
NEW ZEALAND,2023-12-04,409,13,2023,49
NEW ZEALAND,2023-12-11,421,9,2023,50
NEW ZEALAND,2023-12-18,467,11,2023,51
NEW ZEALAND,2023-12-25,449,10,2023,52
NEW ZEALAND,2024-01-01,389,9,2024,1
UNITED STATES OF AMERICA,2019-12-30,528,,2019,52
UNITED STATES OF AMERICA,2020-01-06,132,,2020,1
UNITED STATES OF AMERICA,2020-03-16,1,,2020,11
UNITED STATES OF AMERICA,2020-03-23,16,,2020,12
UNITED STATES OF AMERICA,2020-03-30,12,,2020,13
UNITED STATES OF AMERICA,2020-04-06,529,,2020,14
UNITED STATES OF AMERICA,2020-04-13,469,,2020,15
UNITED STATES OF AMERICA,2020-04-20,338,,2020,16
UNITED STATES OF AMERICA,2020-04-27,557,,2020,17
UNITED STATES OF AMERICA,2020-05-04,451,,2020,18
UNITED STATES OF AMERICA,2020-05-11,459,,2020,19
UNITED STATES OF AMERICA,2020-05-18,399,,2020,20
UNITED STATES OF AMERICA,2020-05-25,303,,2020,21
UNITED STATES OF AMERICA,2020-06-01,200,,2020,22
UNITED STATES OF AMERICA,2020-06-08,288,,2020,23
UNITED STATES OF AMERICA,2020-06-15,251,,2020,24
UNITED STATES OF AMERICA,2020-06-22,511,,2020,25
UNITED STATES OF AMERICA,2020-06-29,846,,2020,26
UNITED STATES OF AMERICA,2020-07-06,999,,2020,27
UNITED STATES OF AMERICA,2020-07-13,22000,,2020,28
UNITED STATES OF AMERICA,2020-07-20,33644,,2020,29
UNITED STATES OF AMERICA,2020-07-27,38484,,2020,30
UNITED STATES OF AMERICA,2020-08-03,32884,,2020,31
UNITED STATES OF AMERICA,2020-08-10,31510,,2020,32
UNITED STATES OF AMERICA,2020-08-17,30245,,2020,33
UNITED STATES OF AMERICA,2020-08-24,29747,,2020,34
UNITED STATES OF AMERICA,2020-08-31,26933,,2020,35
UNITED STATES OF AMERICA,2020-09-07,28234,,2020,36
UNITED STATES OF AMERICA,2020-09-14,23851,,2020,37
UNITED STATES OF AMERICA,2020-09-21,24693,,2020,38
UNITED STATES OF AMERICA,2020-09-28,27417,,2020,39
UNITED STATES OF AMERICA,2020-10-05,33428,,2020,40
UNITED STATES OF AMERICA,2020-10-12,36880,,2020,41
UNITED STATES OF AMERICA,2020-10-19,40806,,2020,42
UNITED STATES OF AMERICA,2020-10-26,46012,,2020,43
UNITED STATES OF AMERICA,2020-11-02,56324,,2020,44
UNITED STATES OF AMERICA,2020-11-09,70636,,2020,45
UNITED STATES OF AMERICA,2020-11-16,81587,,2020,46
UNITED STATES OF AMERICA,2020-11-23,86627,,2020,47
UNITED STATES OF AMERICA,2020-11-30,94234,,2020,48
UNITED STATES OF AMERICA,2020-12-07,101309,,2020,49
UNITED STATES OF AMERICA,2020-12-14,104628,,2020,50
UNITED STATES OF AMERICA,2020-12-21,106027,,2020,51
UNITED STATES OF AMERICA,2020-12-28,111856,,2020,52
UNITED STATES OF AMERICA,2021-01-04,116066,,2021,1
UNITED STATES OF AMERICA,2021-01-11,108598,,2021,2
UNITED STATES OF AMERICA,2021-01-18,94286,,2021,3
UNITED STATES OF AMERICA,2021-01-25,80394,,2021,4
UNITED STATES OF AMERICA,2021-02-01,69176,,2021,5
UNITED STATES OF AMERICA,2021-02-08,55658,,2021,6
UNITED STATES OF AMERICA,2021-02-15,46316,,2021,7
UNITED STATES OF AMERICA,2021-02-22,41613,,2021,8
UNITED STATES OF AMERICA,2021-03-01,35566,,2021,9
UNITED STATES OF AMERICA,2021-03-08,33568,,2021,10
UNITED STATES OF AMERICA,2021-03-15,32916,,2021,11
UNITED STATES OF AMERICA,2021-03-22,34841,,2021,12
UNITED STATES OF AMERICA,2021-03-29,35978,,2021,13
UNITED STATES OF AMERICA,2021-04-05,38965,,2021,14
UNITED STATES OF AMERICA,2021-04-12,39600,,2021,15
UNITED STATES OF AMERICA,2021-04-19,36760,,2021,16
