country,iso_year,iso_week_number,epiweek,new_hospitalization,new_icu,ISO_3_CODE,WHO_REGION
NEW ZEALAND,2020,8,2020-02-24,1,0,NZL,WPRO
NEW ZEALAND,2020,9,2020-03-02,1,0,NZL,WPRO
NEW ZEALAND,2020,10,2020-03-09,2,0,NZL,WPRO
NEW ZEALAND,2020,11,2020-03-16,8,1,NZL,WPRO
NEW ZEALAND,2020,12,2020-03-23,23,1,NZL,WPRO
NEW ZEALAND,2020,13,2020-03-30,17,3,NZL,WPRO
NEW ZEALAND,2020,14,2020-04-06,10,0,NZL,WPRO
NEW ZEALAND,2020,15,2020-04-13,10,0,NZL,WPRO
NEW ZEALAND,2020,16,2020-04-20,1,0,NZL,WPRO
NEW ZEALAND,2020,18,2020-05-04,1,1,NZL,WPRO
NEW ZEALAND,2020,20,2020-05-18,1,0,NZL,WPRO
NEW ZEALAND,2020,25,2020-06-22,1,0,NZL,WPRO
NEW ZEALAND,2020,26,2020-06-29,1,1,NZL,WPRO
NEW ZEALAND,2020,28,2020-07-13,1,0,NZL,WPRO
NEW ZEALAND,2020,32,2020-08-10,6,1,NZL,WPRO
NEW ZEALAND,2020,33,2020-08-17,8,4,NZL,WPRO
NEW ZEALAND,2020,34,2020-08-24,3,0,NZL,WPRO
NEW ZEALAND,2020,35,2020-08-31,1,1,NZL,WPRO
NEW ZEALAND,2020,36,2020-09-07,2,0,NZL,WPRO
NEW ZEALAND,2020,52,2020-12-28,1,0,NZL,WPRO
NEW ZEALAND,2021,3,2021-01-18,2,0,NZL,WPRO
NEW ZEALAND,2021,5,2021-02-01,1,0,NZL,WPRO
NEW ZEALAND,2021,7,2021-02-15,2,0,NZL,WPRO
NEW ZEALAND,2021,9,2021-03-01,1,0,NZL,WPRO
NEW ZEALAND,2021,14,2021-04-05,1,0,NZL,WPRO
NEW ZEALAND,2021,16,2021-04-19,1,0,NZL,WPRO
NEW ZEALAND,2021,23,2021-06-07,1,0,NZL,WPRO
NEW ZEALAND,2021,24,2021-06-14,1,0,NZL,WPRO
NEW ZEALAND,2021,25,2021-06-21,2,0,NZL,WPRO
NEW ZEALAND,2021,30,2021-07-26,1,0,NZL,WPRO
NEW ZEALAND,2021,31,2021-08-02,2,0,NZL,WPRO
NEW ZEALAND,2021,32,2021-08-09,1,0,NZL,WPRO
NEW ZEALAND,2021,33,2021-08-16,8,0,NZL,WPRO
NEW ZEALAND,2021,34,2021-08-23,37,9,NZL,WPRO
NEW ZEALAND,2021,35,2021-08-30,28,7,NZL,WPRO
NEW ZEALAND,2021,36,2021-09-06,11,1,NZL,WPRO
NEW ZEALAND,2021,37,2021-09-13,9,1,NZL,WPRO
NEW ZEALAND,2021,38,2021-09-20,15,2,NZL,WPRO
NEW ZEALAND,2021,39,2021-09-27,26,5,NZL,WPRO
NEW ZEALAND,2021,40,2021-10-04,25,2,NZL,WPRO
NEW ZEALAND,2021,41,2021-10-11,37,2,NZL,WPRO
NEW ZEALAND,2021,42,2021-10-18,67,2,NZL,WPRO
NEW ZEALAND,2021,43,2021-10-25,68,0,NZL,WPRO
NEW ZEALAND,2021,44,2021-11-01,86,7,NZL,WPRO
NEW ZEALAND,2021,45,2021-11-08,88,2,NZL,WPRO
NEW ZEALAND,2021,46,2021-11-15,86,4,NZL,WPRO
NEW ZEALAND,2021,47,2021-11-22,94,7,NZL,WPRO
NEW ZEALAND,2021,48,2021-11-29,55,2,NZL,WPRO
NEW ZEALAND,2021,49,2021-12-06,36,4,NZL,WPRO
NEW ZEALAND,2021,50,2021-12-13,38,0,NZL,WPRO
NEW ZEALAND,2021,51,2021-12-20,32,3,NZL,WPRO
NEW ZEALAND,2021,52,2021-12-27,15,1,NZL,WPRO
NEW ZEALAND,2022,1,2022-01-03,14,0,NZL,WPRO
NEW ZEALAND,2022,2,2022-01-10,19,1,NZL,WPRO
NEW ZEALAND,2022,3,2022-01-17,11,2,NZL,WPRO
NEW ZEALAND,2022,4,2022-01-24,15,2,NZL,WPRO
NEW ZEALAND,2022,5,2022-01-31,41,3,NZL,WPRO
NEW ZEALAND,2022,6,2022-02-07,90,1,NZL,WPRO
NEW ZEALAND,2022,7,2022-02-14,242,9,NZL,WPRO
NEW ZEALAND,2022,8,2022-02-21,622,10,NZL,WPRO
NEW ZEALAND,2022,9,2022-02-28,925,17,NZL,WPRO
NEW ZEALAND,2022,10,2022-03-07,1110,19,NZL,WPRO
NEW ZEALAND,2022,11,2022-03-14,946,28,NZL,WPRO
NEW ZEALAND,2022,12,2022-03-21,795,23,NZL,WPRO
NEW ZEALAND,2022,13,2022-03-28,704,23,NZL,WPRO
NEW ZEALAND,2022,14,2022-04-04,550,22,NZL,WPRO
NEW ZEALAND,2022,15,2022-04-11,460,9,NZL,WPRO
NEW ZEALAND,2022,16,2022-04-18,495,5,NZL,WPRO
NEW ZEALAND,2022,17,2022-04-25,448,16,NZL,WPRO
NEW ZEALAND,2022,18,2022-05-02,429,9,NZL,WPRO
NEW ZEALAND,2022,19,2022-05-09,475,13,NZL,WPRO
NEW ZEALAND,2022,20,2022-05-16,497,10,NZL,WPRO
NEW ZEALAND,2022,21,2022-05-23,428,6,NZL,WPRO
NEW ZEALAND,2022,22,2022-05-30,480,14,NZL,WPRO
NEW ZEALAND,2022,23,2022-06-06,404,13,NZL,WPRO
NEW ZEALAND,2022,24,2022-06-13,405,8,NZL,WPRO
NEW ZEALAND,2022,25,2022-06-20,462,12,NZL,WPRO
NEW ZEALAND,2022,26,2022-06-27,597,12,NZL,WPRO
NEW ZEALAND,2022,27,2022-07-04,733,23,NZL,WPRO
NEW ZEALAND,2022,28,2022-07-11,855,22,NZL,WPRO
NEW ZEALAND,2022,29,2022-07-18,859,20,NZL,WPRO
NEW ZEALAND,2022,30,2022-07-25,764,21,NZL,WPRO
NEW ZEALAND,2022,31,2022-08-01,620,20,NZL,WPRO
NEW ZEALAND,2022,32,2022-08-08,476,11,NZL,WPRO
NEW ZEALAND,2022,33,2022-08-15,395,6,NZL,WPRO
NEW ZEALAND,2022,34,2022-08-22,298,2,NZL,WPRO
NEW ZEALAND,2022,35,2022-08-29,247,8,NZL,WPRO
NEW ZEALAND,2022,36,2022-09-05,205,6,NZL,WPRO
NEW ZEALAND,2022,37,2022-09-12,166,6,NZL,WPRO
NEW ZEALAND,2022,38,2022-09-19,176,7,NZL,WPRO
NEW ZEALAND,2022,39,2022-09-26,137,6,NZL,WPRO
NEW ZEALAND,2022,40,2022-10-03,174,2,NZL,WPRO
NEW ZEALAND,2022,41,2022-10-10,264,8,NZL,WPRO
NEW ZEALAND,2022,42,2022-10-17,327,11,NZL,WPRO
NEW ZEALAND,2022,43,2022-10-24,335,8,NZL,WPRO
NEW ZEALAND,2022,44,2022-10-31,359,10,NZL,WPRO
NEW ZEALAND,2022,45,2022-11-07,347,10,NZL,WPRO
NEW ZEALAND,2022,46,2022-11-14,393,10,NZL,WPRO
NEW ZEALAND,2022,47,2022-11-21,396,11,NZL,WPRO
NEW ZEALAND,2022,48,2022-11-28,510,13,NZL,WPRO
NEW ZEALAND,2022,49,2022-12-05,575,14,NZL,WPRO
NEW ZEALAND,2022,50,2022-12-12,590,13,NZL,WPRO
NEW ZEALAND,2022,51,2022-12-19,557,12,NZL,WPRO
NEW ZEALAND,2022,52,2022-12-26,518,19,NZL,WPRO
NEW ZEALAND,2023,1,2023-01-02,409,8,NZL,WPRO
NEW ZEALAND,2023,2,2023-01-09,296,10,NZL,WPRO
NEW ZEALAND,2023,3,2023-01-16,254,5,NZL,WPRO
NEW ZEALAND,2023,4,2023-01-23,166,4,NZL,WPRO
NEW ZEALAND,2023,5,2023-01-30,153,7,NZL,WPRO
NEW ZEALAND,2023,6,2023-02-06,156,2,NZL,WPRO
NEW ZEALAND,2023,7,2023-02-13,138,6,NZL,WPRO
NEW ZEALAND,2023,8,2023-02-20,178,7,NZL,WPRO
NEW ZEALAND,2023,9,2023-02-27,201,9,NZL,WPRO
NEW ZEALAND,2023,10,2023-03-06,217,7,NZL,WPRO
NEW ZEALAND,2023,11,2023-03-13,223,10,NZL,WPRO
NEW ZEALAND,2023,12,2023-03-20,232,5,NZL,WPRO
NEW ZEALAND,2023,13,2023-03-27,257,8,NZL,WPRO
NEW ZEALAND,2023,14,2023-04-03,273,9,NZL,WPRO
NEW ZEALAND,2023,15,2023-04-10,313,10,NZL,WPRO
NEW ZEALAND,2023,16,2023-04-17,308,8,NZL,WPRO
NEW ZEALAND,2023,17,2023-04-24,257,7,NZL,WPRO
NEW ZEALAND,2023,18,2023-05-01,236,3,NZL,WPRO
NEW ZEALAND,2023,19,2023-05-08,234,2,NZL,WPRO
NEW ZEALAND,2023,20,2023-05-15,249,12,NZL,WPRO
NEW ZEALAND,2023,21,2023-05-22,244,4,NZL,WPRO
NEW ZEALAND,2023,22,2023-05-29,252,8,NZL,WPRO
NEW ZEALAND,2023,23,2023-06-05,212,8,NZL,WPRO
NEW ZEALAND,2023,24,2023-06-12,220,2,NZL,WPRO
NEW ZEALAND,2023,25,2023-06-19,171,3,NZL,WPRO
NEW ZEALAND,2023,26,2023-06-26,84,2,NZL,WPRO
NEW ZEALAND,2023,27,2023-07-03,18,0,NZL,WPRO
NEW ZEALAND,2023,28,2023-07-10,20,1,NZL,WPRO
NEW ZEALAND,2023,29,2023-07-17,12,0,NZL,WPRO
NEW ZEALAND,2023,30,2023-07-24,16,2,NZL,WPRO
NEW ZEALAND,2023,31,2023-07-31,30,0,NZL,WPRO
NEW ZEALAND,2023,32,2023-08-07,31,3,NZL,WPRO
NEW ZEALAND,2023,33,2023-08-14,27,0,NZL,WPRO
NEW ZEALAND,2023,34,2023-08-21,50,4,NZL,WPRO
NEW ZEALAND,2023,35,2023-08-28,53,3,NZL,WPRO
NEW ZEALAND,2023,36,2023-09-04,92,5,NZL,WPRO
NEW ZEALAND,2023,37,2023-09-11,80,2,NZL,WPRO
NEW ZEALAND,2023,38,2023-09-18,83,4,NZL,WPRO
NEW ZEALAND,2023,39,2023-09-25,130,3,NZL,WPRO
