WHO_REGION,ISO_3_CODE,country,epiweek,new_hospitalization,new_icu,iso_year,iso_week_number
AFRO,DZA,ALGERIA,2023-12-25,,,2023,52
AFRO,AGO,ANGOLA,2023-12-25,2,0,2023,52
AFRO,BEN,BENIN,2023-12-25,,,2023,52
AFRO,BWA,BOTSWANA,2023-12-25,,,2023,52
AFRO,BFA,BURKINA FASO,2023-12-25,,,2023,52
AFRO,BDI,BURUNDI,2023-12-25,0,0,2023,52
AFRO,CPV,CABO VERDE,2023-12-25,,,2023,52
AFRO,CMR,CAMEROON,2023-12-25,,,2023,52
AFRO,CAF,CENTRAL AFRICAN REPUBLIC,2023-12-25,,,2023,52
AFRO,TCD,CHAD,2023-12-25,,,2023,52
AFRO,COM,COMOROS,2023-12-25,,,2023,52
AFRO,COG,CONGO,2023-12-25,,,2023,52
AFRO,CIV,CÔTE D’IVOIRE,2023-12-25,,,2023,52
AFRO,COD,DEMOCRATIC REPUBLIC OF THE CONGO,2023-12-25,,,2023,52
AFRO,GNQ,EQUATORIAL GUINEA,2023-12-25,,,2023,52
AFRO,ERI,ERITREA,2023-12-25,,,2023,52
AFRO,SWZ,ESWATINI,2023-12-25,0,0,2023,52
AFRO,ETH,ETHIOPIA,2023-12-25,,,2023,52
AFRO,GAB,GABON,2023-12-25,,,2023,52
AFRO,GMB,GAMBIA,2023-12-25,,,2023,52
AFRO,GHA,GHANA,2023-12-25,,,2023,52
AFRO,GIN,GUINEA,2023-12-25,,,2023,52
AFRO,GNB,GUINEA-BISSAU,2023-12-25,,,2023,52
AFRO,KEN,KENYA,2023-12-25,,,2023,52
AFRO,LSO,LESOTHO,2023-12-25,0,0,2023,52
AFRO,LBR,LIBERIA,2023-12-25,,,2023,52
AFRO,MDG,MADAGASCAR,2023-12-25,0,0,2023,52
AFRO,MWI,MALAWI,2023-12-25,,,2023,52
AFRO,MLI,MALI,2023-12-25,0,0,2023,52
AFRO,MRT,MAURITANIA,2023-12-25,0,0,2023,52
AFRO,MUS,MAURITIUS,2023-12-25,20,3,2023,52
AFRO,MOZ,MOZAMBIQUE,2023-12-25,,,2023,52
AFRO,NAM,NAMIBIA,2023-12-25,0,0,2023,52
AFRO,NER,NIGER,2023-12-25,,,2023,52
AFRO,NGA,NIGERIA,2023-12-25,0,0,2023,52
AFRO,RWA,RWANDA,2023-12-25,,,2023,52
AFRO,STP,SAO TOME AND PRINCIPE,2023-12-25,0,0,2023,52
AFRO,SEN,SENEGAL,2023-12-25,,,2023,52
AFRO,SYC,SEYCHELLES,2023-12-25,,,2023,52
AFRO,SLE,SIERRA LEONE,2023-12-25,0,0,2023,52
AFRO,ZAF,SOUTH AFRICA,2023-12-25,,,2023,52
AFRO,SSD,SOUTH SUDAN,2023-12-25,,,2023,52
AFRO,TZA,UNITED REPUBLIC OF TANZANIA,2023-12-25,,,2023,52
AFRO,TGO,TOGO,2023-12-25,,,2023,52
AFRO,UGA,UGANDA,2023-12-25,,,2023,52
AFRO,ZMB,ZAMBIA,2023-12-25,,,2023,52
AFRO,ZWE,ZIMBABWE,2023-12-25,0,0,2023,52
AFRO,DZA,ALGERIA,2024-01-01,,,2024,1
AFRO,AGO,ANGOLA,2024-01-01,0,0,2024,1
AFRO,BEN,BENIN,2024-01-01,,,2024,1
AFRO,BWA,BOTSWANA,2024-01-01,0,0,2024,1
AFRO,BFA,BURKINA FASO,2024-01-01,,,2024,1
AFRO,BDI,BURUNDI,2024-01-01,0,0,2024,1
AFRO,CPV,CABO VERDE,2024-01-01,,,2024,1
AFRO,CMR,CAMEROON,2024-01-01,,,2024,1
AFRO,CAF,CENTRAL AFRICAN REPUBLIC,2024-01-01,,,2024,1
AFRO,TCD,CHAD,2024-01-01,,,2024,1
AFRO,COM,COMOROS,2024-01-01,,,2024,1
AFRO,COG,CONGO,2024-01-01,,,2024,1
AFRO,CIV,CÔTE D’IVOIRE,2024-01-01,,,2024,1
AFRO,COD,DEMOCRATIC REPUBLIC OF THE CONGO,2024-01-01,,,2024,1
AFRO,GNQ,EQUATORIAL GUINEA,2024-01-01,,,2024,1
AFRO,ERI,ERITREA,2024-01-01,,,2024,1
AFRO,SWZ,ESWATINI,2024-01-01,0,0,2024,1
AFRO,ETH,ETHIOPIA,2024-01-01,,,2024,1
AFRO,GAB,GABON,2024-01-01,,,2024,1
AFRO,GMB,GAMBIA,2024-01-01,,,2024,1
AFRO,GHA,GHANA,2024-01-01,,,2024,1
AFRO,GIN,GUINEA,2024-01-01,,,2024,1
AFRO,GNB,GUINEA-BISSAU,2024-01-01,,,2024,1
AFRO,KEN,KENYA,2024-01-01,,,2024,1
AFRO,LSO,LESOTHO,2024-01-01,,,2024,1
AFRO,LBR,LIBERIA,2024-01-01,,,2024,1
AFRO,MDG,MADAGASCAR,2024-01-01,0,0,2024,1
AFRO,MWI,MALAWI,2024-01-01,,,2024,1
AFRO,MLI,MALI,2024-01-01,0,0,2024,1
AFRO,MRT,MAURITANIA,2024-01-01,0,0,2024,1
AFRO,MUS,MAURITIUS,2024-01-01,43,3,2024,1
AFRO,MOZ,MOZAMBIQUE,2024-01-01,,,2024,1
AFRO,NAM,NAMIBIA,2024-01-01,2,0,2024,1
AFRO,NER,NIGER,2024-01-01,,,2024,1
AFRO,NGA,NIGERIA,2024-01-01,,,2024,1
AFRO,RWA,RWANDA,2024-01-01,,,2024,1
AFRO,STP,SAO TOME AND PRINCIPE,2024-01-01,,,2024,1
AFRO,SEN,SENEGAL,2024-01-01,,,2024,1
AFRO,SYC,SEYCHELLES,2024-01-01,,,2024,1
AFRO,SLE,SIERRA LEONE,2024-01-01,,,2024,1
AFRO,ZAF,SOUTH AFRICA,2024-01-01,,,2024,1
AFRO,SSD,SOUTH SUDAN,2024-01-01,,,2024,1
AFRO,TZA,UNITED REPUBLIC OF TANZANIA,2024-01-01,,,2024,1
AFRO,TGO,TOGO,2024-01-01,,,2024,1
AFRO,UGA,UGANDA,2024-01-01,,,2024,1
AFRO,ZMB,ZAMBIA,2024-01-01,,,2024,1
