WHO_REGION,ISO_3_CODE,country,epiweek,new_hospitalization,new_icu,iso_year,iso_week_number
WPRO,NZL,NEW ZEALAND,2020-01-20,1,0,2020,4
WPRO,NZL,NEW ZEALAND,2020-02-24,1,0,2020,9
WPRO,NZL,NEW ZEALAND,2020-03-02,1,0,2020,10
WPRO,NZL,NEW ZEALAND,2020-03-09,2,0,2020,11
WPRO,NZL,NEW ZEALAND,2020-03-16,8,1,2020,12
WPRO,NZL,NEW ZEALAND,2020-03-23,23,1,2020,13
WPRO,NZL,NEW ZEALAND,2020-03-30,17,3,2020,14
WPRO,NZL,NEW ZEALAND,2020-04-06,10,0,2020,15
WPRO,NZL,NEW ZEALAND,2020-04-13,10,0,2020,16
WPRO,NZL,NEW ZEALAND,2020-04-20,1,0,2020,17
WPRO,NZL,NEW ZEALAND,2020-05-04,1,1,2020,19
WPRO,NZL,NEW ZEALAND,2020-05-18,1,0,2020,21
WPRO,NZL,NEW ZEALAND,2020-06-22,1,0,2020,26
WPRO,NZL,NEW ZEALAND,2020-06-29,1,1,2020,27
WPRO,NZL,NEW ZEALAND,2020-07-13,1,0,2020,29
WPRO,NZL,NEW ZEALAND,2020-08-10,6,1,2020,33
WPRO,NZL,NEW ZEALAND,2020-08-17,8,4,2020,34
WPRO,NZL,NEW ZEALAND,2020-08-24,3,0,2020,35
WPRO,NZL,NEW ZEALAND,2020-08-31,1,1,2020,36
WPRO,NZL,NEW ZEALAND,2020-09-07,3,0,2020,37
WPRO,NZL,NEW ZEALAND,2020-11-23,1,0,2020,48
WPRO,NZL,NEW ZEALAND,2020-12-07,1,0,2020,50
WPRO,NZL,NEW ZEALAND,2020-12-28,2,0,2020,53
WPRO,NZL,NEW ZEALAND,2021-01-18,2,0,2021,3
WPRO,NZL,NEW ZEALAND,2021-02-01,1,0,2021,5
WPRO,NZL,NEW ZEALAND,2021-02-15,1,0,2021,7
WPRO,NZL,NEW ZEALAND,2021-03-01,1,0,2021,9
WPRO,NZL,NEW ZEALAND,2021-03-08,1,0,2021,10
WPRO,NZL,NEW ZEALAND,2021-04-05,1,0,2021,14
WPRO,NZL,NEW ZEALAND,2021-04-19,3,0,2021,16
WPRO,NZL,NEW ZEALAND,2021-05-10,1,0,2021,19
WPRO,NZL,NEW ZEALAND,2021-05-24,1,0,2021,21
WPRO,NZL,NEW ZEALAND,2021-06-07,2,0,2021,23
WPRO,NZL,NEW ZEALAND,2021-06-14,1,0,2021,24
WPRO,NZL,NEW ZEALAND,2021-06-21,4,0,2021,25
WPRO,NZL,NEW ZEALAND,2021-07-26,1,0,2021,30
WPRO,NZL,NEW ZEALAND,2021-08-02,2,0,2021,31
WPRO,NZL,NEW ZEALAND,2021-08-09,1,0,2021,32
WPRO,NZL,NEW ZEALAND,2021-08-16,8,0,2021,33
WPRO,NZL,NEW ZEALAND,2021-08-23,37,9,2021,34
WPRO,NZL,NEW ZEALAND,2021-08-30,28,7,2021,35
WPRO,NZL,NEW ZEALAND,2021-09-06,13,1,2021,36
WPRO,NZL,NEW ZEALAND,2021-09-13,11,1,2021,37
WPRO,NZL,NEW ZEALAND,2021-09-20,15,2,2021,38
WPRO,NZL,NEW ZEALAND,2021-09-27,26,5,2021,39
WPRO,NZL,NEW ZEALAND,2021-10-04,26,2,2021,40
WPRO,NZL,NEW ZEALAND,2021-10-11,37,2,2021,41
WPRO,NZL,NEW ZEALAND,2021-10-18,67,2,2021,42
WPRO,NZL,NEW ZEALAND,2021-10-25,68,0,2021,43
WPRO,NZL,NEW ZEALAND,2021-11-01,86,7,2021,44
WPRO,NZL,NEW ZEALAND,2021-11-08,91,2,2021,45
WPRO,NZL,NEW ZEALAND,2021-11-15,86,4,2021,46
WPRO,NZL,NEW ZEALAND,2021-11-22,95,7,2021,47
WPRO,NZL,NEW ZEALAND,2021-11-29,55,2,2021,48
WPRO,NZL,NEW ZEALAND,2021-12-06,38,4,2021,49
WPRO,NZL,NEW ZEALAND,2021-12-13,38,0,2021,50
WPRO,NZL,NEW ZEALAND,2021-12-20,32,3,2021,51
WPRO,NZL,NEW ZEALAND,2021-12-27,17,1,2021,52
WPRO,NZL,NEW ZEALAND,2022-01-03,15,0,2022,1
WPRO,NZL,NEW ZEALAND,2022-01-10,19,1,2022,2
