areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
overview,United Kingdom,K02000001,2022-09-11,549,993741
overview,United Kingdom,K02000001,2022-09-10,457,993192
overview,United Kingdom,K02000001,2022-09-09,493,992735
overview,United Kingdom,K02000001,2022-09-08,591,992242
overview,United Kingdom,K02000001,2022-09-07,616,991651
overview,United Kingdom,K02000001,2022-09-06,637,991035
overview,United Kingdom,K02000001,2022-09-05,618,990398
overview,United Kingdom,K02000001,2022-09-04,539,989780
overview,United Kingdom,K02000001,2022-09-03,504,989241
overview,United Kingdom,K02000001,2022-09-02,551,988737
overview,United Kingdom,K02000001,2022-09-01,616,988186
overview,United Kingdom,K02000001,2022-08-31,654,987570
overview,United Kingdom,K02000001,2022-08-30,677,986916
overview,United Kingdom,K02000001,2022-08-29,677,986239
overview,United Kingdom,K02000001,2022-08-28,603,985562
overview,United Kingdom,K02000001,2022-08-27,530,984959
overview,United Kingdom,K02000001,2022-08-26,586,984429
overview,United Kingdom,K02000001,2022-08-25,748,983843
overview,United Kingdom,K02000001,2022-08-24,734,983095
overview,United Kingdom,K02000001,2022-08-23,801,982361
overview,United Kingdom,K02000001,2022-08-22,755,981560
overview,United Kingdom,K02000001,2022-08-21,677,980805
overview,United Kingdom,K02000001,2022-08-20,650,980128
overview,United Kingdom,K02000001,2022-08-19,742,979478
overview,United Kingdom,K02000001,2022-08-18,774,978736
overview,United Kingdom,K02000001,2022-08-17,869,977962
overview,United Kingdom,K02000001,2022-08-16,913,977093
overview,United Kingdom,K02000001,2022-08-15,984,976180
overview,United Kingdom,K02000001,2022-08-14,844,975196
overview,United Kingdom,K02000001,2022-08-13,845,974352
overview,United Kingdom,K02000001,2022-08-12,875,973507
overview,United Kingdom,K02000001,2022-08-11,1018,972632
overview,United Kingdom,K02000001,2022-08-10,1132,971614
overview,United Kingdom,K02000001,2022-08-09,1097,970482
overview,United Kingdom,K02000001,2022-08-08,1092,969385
overview,United Kingdom,K02000001,2022-08-07,989,968293
overview,United Kingdom,K02000001,2022-08-06,854,967304
overview,United Kingdom,K02000001,2022-08-05,1032,966450
overview,United Kingdom,K02000001,2022-08-04,1136,965418
overview,United Kingdom,K02000001,2022-08-03,1195,964282
overview,United Kingdom,K02000001,2022-08-02,1206,963087
overview,United Kingdom,K02000001,2022-08-01,1266,961881
overview,United Kingdom,K02000001,2022-07-31,1247,960615
overview,United Kingdom,K02000001,2022-07-30,1049,959368
overview,United Kingdom,K02000001,2022-07-29,1152,958319
overview,United Kingdom,K02000001,2022-07-28,1333,957167
overview,United Kingdom,K02000001,2022-07-27,1374,955834
overview,United Kingdom,K02000001,2022-07-26,1474,954460
overview,United Kingdom,K02000001,2022-07-25,1523,952986
overview,United Kingdom,K02000001,2022-07-24,1449,951463
overview,United Kingdom,K02000001,2022-07-23,1315,950014
overview,United Kingdom,K02000001,2022-07-22,1428,948699
overview,United Kingdom,K02000001,2022-07-21,1753,947271
overview,United Kingdom,K02000001,2022-07-20,1950,945518
overview,United Kingdom,K02000001,2022-07-19,2058,943568
overview,United Kingdom,K02000001,2022-07-18,1992,941510
