ISO_3_CODE,ADM0_NAME,WHO_REGION
USA,UNITED STATES OF AMERICA,AMRO
GHA,GHANA,AFRO
AZE,AZERBAIJAN,EURO
THA,THAILAND,SEARO
CHN,CHINA,WPRO
EGY,EGYPT,EMRO
PNG,PAPUA NEW GUINEA,WPRO
PHL,PHILIPPINES,WPRO
TUN,TUNISIA,EMRO
USA,UNITED STATES OF AMERICA,AMRO
BRA,BRAZIL,AMRO
VNM,VIET NAM,WPRO
POL,POLAND,EURO
NOR,NORWAY,EURO
JPN,JAPAN,WPRO
SWE,SWEDEN,EURO
NOR,NORWAY,EURO
POL,POLAND,EURO
USA,UNITED STATES OF AMERICA,AMRO
USA,UNITED STATES OF AMERICA,AMRO
NGA,NIGERIA,AFRO
THA,THAILAND,SEARO
BEN,BENIN,AFRO
NPL,NEPAL,SEARO
ROU,ROMANIA,EURO
AFG,AFGHANISTAN,EMRO
USA,UNITED STATES OF AMERICA,AMRO
CHN,CHINA,WPRO
BRA,BRAZIL,AMRO
KEN,KENYA,AFRO
JPN,JAPAN,WPRO
DZA,ALGERIA,AFRO
ARM,ARMENIA,EURO
CHN,CHINA,WPRO
MEX,MEXICO,AMRO
CHN,CHINA,WPRO
NAM,NAMIBIA,AFRO
ETH,ETHIOPIA,AFRO
SEN,SENEGAL,AFRO
THA,THAILAND,SEARO
POL,POLAND,EURO
BRA,BRAZIL,AMRO
NOR,NORWAY,EURO
KIR,KIRIBATI,WPRO
BRA,BRAZIL,AMRO
FSM,MICRONESIA (FEDERATED STATES OF),WPRO
GMB,GAMBIA,AFRO
AGO,ANGOLA,AFRO
ROU,ROMANIA,EURO
ROU,ROMANIA,EURO
BRA,BRAZIL,AMRO
MEX,MEXICO,AMRO
JPN,JAPAN,WPRO
ITA,ITALY,EURO
USA,UNITED STATES OF AMERICA,AMRO
CHN,CHINA,WPRO
BRA,BRAZIL,AMRO
NGA,NIGERIA,AFRO
MEX,MEXICO,AMRO
AGO,ANGOLA,AFRO
MYS,MALAYSIA,WPRO
LTU,LITHUANIA,EURO
ROU,ROMANIA,EURO
MAR,MOROCCO,EMRO
AUS,AUSTRALIA,WPRO
ECU,ECUADOR,AMRO
ROU,ROMANIA,EURO
